,frame,synthesizer,camera_position,scene,pose_traces,QP,numGroup,psnr,ssim,vmaf,x,y,z,yaw,pitch,roll
16,16,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,11.862413,0.807583,0.0,0.0,-0.0,-0.0,-90.0,-80.0,0.0
15,15,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,11.84343,0.82073,0.0,0.0,-0.0,-0.0,-90.0,-75.0,0.0
14,14,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,11.930286,0.853924,0.0,0.0,-0.0,-0.0,-90.0,-70.0,0.0
13,13,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,11.880091,0.877271,0.0,0.0,-0.0,-0.0,-90.0,-65.0,0.0
12,12,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,21.83306,0.967273,0.0,0.0,-0.0,-0.0,-90.0,-60.0,0.0
11,11,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,22.379972,0.96568,0.0,0.0,-0.0,-0.0,-90.0,-55.0,0.0
10,10,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,23.85533,0.967937,19.869516,0.0,-0.0,-0.0,-90.0,-50.0,0.0
9,9,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,23.759656,0.966733,24.817768,0.0,-0.0,-0.0,-90.0,-45.0,0.0
8,8,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,23.768649,0.968704,56.158115,0.0,-0.0,-0.0,-90.0,-40.0,0.0
7,7,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,25.510997,0.976022,82.121513,0.0,-0.0,-0.0,-90.0,-35.0,0.0
6,6,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,27.10642,0.974596,92.055303,0.0,-0.0,-0.0,-90.0,-30.0,0.0
5,5,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,28.29998,0.974426,94.553424,0.0,-0.0,-0.0,-90.0,-25.0,0.0
4,4,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,29.04073,0.978866,99.610177,0.0,-0.0,-0.0,-90.0,-20.0,0.0
3,3,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,30.242222,0.980124,100.0,0.0,-0.0,-0.0,-90.0,-15.0,0.0
2,2,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,32.124761,0.981329,100.0,0.0,-0.0,-0.0,-90.0,-10.0,0.0
1,1,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,33.709025,0.98567,100.0,0.0,-0.0,-0.0,-90.0,-5.0,0.0
0,0,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,34.142176,0.988647,100.0,0.0,-0.0,-0.0,-90.0,-0.0,0.0
17,17,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,25.487703,0.956687,100.0,0.0,-0.0,-0.0,-90.0,5.0,0.0
18,18,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,18.408101,0.89807,95.293393,0.0,-0.0,-0.0,-90.0,10.0,0.0
19,19,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,14.850628,0.84654,88.032036,0.0,-0.0,-0.0,-90.0,15.0,0.0
20,20,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,14.810184,0.810009,79.595393,0.0,-0.0,-0.0,-90.0,20.0,0.0
21,21,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,13.535691,0.77047,72.34433,0.0,-0.0,-0.0,-90.0,25.0,0.0
22,22,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,11.839522,0.724242,68.599298,0.0,-0.0,-0.0,-90.0,30.0,0.0
23,23,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,11.486674,0.692567,58.438925,0.0,-0.0,-0.0,-90.0,35.0,0.0
24,24,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,10.359368,0.658177,53.82472,0.0,-0.0,-0.0,-90.0,40.0,0.0
25,25,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,10.599128,0.622272,40.607634,0.0,-0.0,-0.0,-90.0,45.0,0.0
26,26,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,9.913733,0.581451,18.326325,0.0,-0.0,-0.0,-90.0,50.0,0.0
27,27,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,8.94683,0.526885,12.42455,0.0,-0.0,-0.0,-90.0,55.0,0.0
28,28,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,6.119477,0.396564,3.530225,0.0,-0.0,-0.0,-90.0,60.0,0.0
29,29,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,9.645742,0.545034,5.212096,0.0,-0.0,-0.0,-90.0,65.0,0.0
30,30,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,9.61461,0.550708,5.852253,0.0,-0.0,-0.0,-90.0,70.0,0.0
31,31,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,9.644832,0.560047,4.030356,0.0,-0.0,-0.0,-90.0,75.0,0.0
32,32,AdditiveSynthesizer,18x2,RealisticRendering,pose1,0,1,9.686446,0.566012,2.949846,0.0,-0.0,-0.0,-90.0,80.0,0.0
