frame,synthesizer,camera_position,scene,pose_traces,QP,numGroup,psnr,ssim,vmaf,x,y,z,yaw,pitch,roll
0,AdditiveSynthesizer,18x2,RealisticRendering,pose4,0,1,34.14995,0.98867,78.957284,0.0,-0.0,-0.0,-90.0,-0.0,0.0
1,AdditiveSynthesizer,18x2,RealisticRendering,pose4,0,1,33.668601,0.987574,97.624378,-0.1,-0.0,-0.0,-90.0,-0.0,0.0
2,AdditiveSynthesizer,18x2,RealisticRendering,pose4,0,1,33.979122,0.988628,95.753443,-0.2,-0.0,-0.0,-90.0,-0.0,0.0
3,AdditiveSynthesizer,18x2,RealisticRendering,pose4,0,1,33.766541,0.988136,95.942781,-0.3,-0.0,-0.0,-90.0,-0.0,0.0
4,AdditiveSynthesizer,18x2,RealisticRendering,pose4,0,1,33.046929,0.985993,93.648742,-0.4000000000000001,-0.0,-0.0,-90.0,-0.0,0.0
5,AdditiveSynthesizer,18x2,RealisticRendering,pose4,0,1,32.331452,0.984454,93.178148,-0.5000000000000001,-0.0,-0.0,-90.0,-0.0,0.0
6,AdditiveSynthesizer,18x2,RealisticRendering,pose4,0,1,33.743326,0.988418,97.786694,0.1,-0.0,-0.0,-90.0,-0.0,0.0
7,AdditiveSynthesizer,18x2,RealisticRendering,pose4,0,1,33.886514,0.98785,97.789,0.2,-0.0,-0.0,-90.0,-0.0,0.0
8,AdditiveSynthesizer,18x2,RealisticRendering,pose4,0,1,33.551353,0.988092,98.560813,0.3,-0.0,-0.0,-90.0,-0.0,0.0
9,AdditiveSynthesizer,18x2,RealisticRendering,pose4,0,1,33.015173,0.986166,98.700309,0.4000000000000001,-0.0,-0.0,-90.0,-0.0,0.0
10,AdditiveSynthesizer,18x2,RealisticRendering,pose4,0,1,32.577436,0.98578,99.066613,0.5000000000000001,-0.0,-0.0,-90.0,-0.0,0.0
